,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Cluster_KM
102,1,3,19046.0,2770.0,2469.0,7787.25,483.0,2708.0,3
103,1,3,14438.0,2295.0,1733.0,3220.0,585.0,1561.0,1
104,1,3,18044.0,1080.0,2000.0,2555.0,118.0,1266.0,1
105,1,3,11134.0,793.0,2988.0,2715.0,276.0,610.0,1
106,1,3,11173.0,2521.0,3355.0,1517.0,310.0,222.0,1
107,1,3,6990.0,3880.0,5380.0,1647.0,319.0,1160.0,1
108,1,3,20049.0,1891.0,2362.0,5343.0,411.0,933.0,3
109,1,3,8258.0,2344.0,2147.0,3896.0,266.0,635.0,1
110,1,3,17160.0,1200.0,3412.0,2417.0,174.0,1136.0,1
111,1,3,4020.0,3234.0,1498.0,2395.0,264.0,255.0,1
112,1,3,12212.0,201.0,245.0,1991.0,25.0,860.0,1
113,2,3,11170.0,10769.0,8814.0,2194.0,1976.0,143.0,0
114,1,3,36050.0,1642.0,2961.0,4787.0,500.0,1621.0,3
115,1,3,37788.25,3473.0,7102.0,7787.25,778.0,918.0,3
116,1,3,19219.0,1840.0,1658.0,7787.25,349.0,483.0,3
117,2,3,21465.0,7243.0,10685.0,880.0,2386.0,2749.0,0
118,1,3,140.0,8847.0,3823.0,142.0,1062.0,3.0,1
119,1,3,37788.25,926.0,1510.0,1718.0,410.0,1819.0,1
120,1,3,7149.0,2428.0,699.0,6316.0,395.0,911.0,3
121,1,3,2101.0,589.0,314.0,346.0,70.0,310.0,1
122,1,3,14903.0,2032.0,2479.0,576.0,955.0,328.0,1
123,1,3,9434.0,1042.0,1235.0,436.0,256.0,396.0,1
124,1,3,7388.0,1882.0,2174.0,720.0,47.0,537.0,1
125,1,3,6300.0,1289.0,2591.0,1170.0,199.0,326.0,1
126,1,3,4625.0,8579.0,7030.0,4575.0,2447.0,1542.0,3
127,1,3,3087.0,8080.0,8282.0,661.0,721.0,36.0,1
128,1,3,13537.0,4257.0,5034.0,155.0,249.0,3271.0,1
129,1,3,5387.0,4979.0,3343.0,825.0,637.0,929.0,1
130,1,3,17623.0,4280.0,7305.0,2279.0,960.0,2616.0,1
131,1,3,30379.0,13252.0,5189.0,321.0,51.0,1450.0,1
132,1,3,37036.0,7152.0,8253.0,2995.0,20.0,3.0,3
133,1,3,10405.0,1596.0,1096.0,7787.25,399.0,318.0,3
134,1,3,18827.0,3677.0,1988.0,118.0,516.0,201.0,1
135,2,3,22039.0,8384.0,23549.375,42.0,9598.375,3850.0,0
136,1,3,7769.0,1936.0,2177.0,926.0,73.0,520.0,1
137,1,3,9203.0,3373.0,2707.0,1286.0,1082.0,526.0,1
138,1,3,5924.0,584.0,542.0,4052.0,283.0,434.0,1
139,1,3,31812.0,1433.0,1651.0,800.0,113.0,1440.0,1
140,1,3,16225.0,1825.0,1765.0,853.0,170.0,1067.0,1
141,1,3,1289.0,3328.0,2022.0,531.0,255.0,1774.0,1
142,1,3,18840.0,1371.0,3135.0,3001.0,352.0,184.0,1
143,1,3,3463.0,9250.0,2368.0,779.0,302.0,1627.0,1
144,1,3,622.0,55.0,137.0,75.0,7.0,8.0,1
145,2,3,1989.0,10690.0,19460.0,233.0,9598.375,2153.0,0
146,2,3,3830.0,5291.0,14855.0,317.0,6694.0,3182.0,0
147,1,3,17773.0,1366.0,2474.0,3378.0,811.0,418.0,1
148,2,3,2861.0,6570.0,9618.0,930.0,4004.0,1682.0,0
149,2,3,355.0,7704.0,14682.0,398.0,8077.0,303.0,0
150,2,3,1725.0,3651.0,12822.0,824.0,4424.0,2157.0,0
151,1,3,12434.0,540.0,283.0,1092.0,3.0,2233.0,1
152,1,3,15177.0,2024.0,3810.0,2665.0,232.0,610.0,1
153,2,3,5531.0,15489.5,23549.375,2367.0,9598.375,446.0,0
154,2,3,5224.0,7603.0,8584.0,2540.0,3674.0,238.0,0
155,2,3,15615.0,12653.0,19858.0,4425.0,7108.0,2379.0,0
156,2,3,4822.0,6721.0,9170.0,993.0,4973.0,3637.0,0
157,1,3,2926.0,3195.0,3268.0,405.0,1680.0,693.0,1
158,1,3,5809.0,735.0,803.0,1393.0,79.0,429.0,1
159,1,3,5414.0,717.0,2155.0,2399.0,69.0,750.0,1
160,2,3,260.0,8675.0,13430.0,1116.0,7015.0,323.0,0
161,2,3,200.0,15489.5,19816.0,651.0,8773.0,3850.0,0
162,1,3,955.0,5479.0,6536.0,333.0,2840.0,707.0,1
163,2,3,514.0,7677.0,19805.0,937.0,9598.375,716.0,0
164,1,3,286.0,1208.0,5241.0,2515.0,153.0,1442.0,1
165,2,3,2343.0,7845.0,11874.0,52.0,4196.0,1697.0,0
166,1,3,37788.25,6958.0,6536.0,7368.0,1532.0,230.0,3
167,1,3,12759.0,7330.0,4533.0,1752.0,20.0,2631.0,1
168,1,3,11002.0,7075.0,4945.0,1152.0,120.0,395.0,1
169,1,3,3157.0,4888.0,2500.0,4477.0,273.0,2165.0,3
170,1,3,12356.0,6036.0,8887.0,402.0,1382.0,2794.0,1
171,1,3,37788.25,15489.5,18148.0,7787.25,4948.0,3850.0,3
172,1,3,694.0,8533.0,10518.0,443.0,6907.0,156.0,1
173,1,3,36847.0,15489.5,20170.0,7787.25,239.0,3850.0,3
174,1,3,327.0,918.0,4710.0,74.0,334.0,11.0,1
175,1,3,8170.0,6448.0,1139.0,2181.0,58.0,247.0,1
176,1,3,3009.0,521.0,854.0,3470.0,949.0,727.0,1
177,1,3,2438.0,8002.0,9819.0,6269.0,3459.0,3.0,3
178,2,3,8040.0,7639.0,11687.0,2758.0,6839.0,404.0,0
179,2,3,834.0,11577.0,11522.0,275.0,4027.0,1856.0,0
180,1,3,16936.0,6250.0,1981.0,7332.0,118.0,64.0,3
181,1,3,13624.0,295.0,1381.0,890.0,43.0,84.0,1
182,1,3,5509.0,1461.0,2251.0,547.0,187.0,409.0,1
183,2,3,180.0,3485.0,20292.0,959.0,5618.0,666.0,0
184,1,3,7107.0,1012.0,2974.0,806.0,355.0,1142.0,1
185,1,3,17023.0,5139.0,5230.0,7787.25,330.0,1755.0,3
186,1,1,30624.0,7209.0,4897.0,7787.25,763.0,2876.0,2
187,2,1,2427.0,7097.0,10391.0,1127.0,4314.0,1468.0,2
188,1,1,11686.0,2154.0,6824.0,3527.0,592.0,697.0,2
189,1,1,9670.0,2280.0,2112.0,520.0,402.0,347.0,2
190,2,1,3067.0,13240.0,23127.0,3941.0,9598.375,731.0,2
191,2,1,4484.0,14399.0,23549.375,3549.0,9598.375,1681.0,2
192,1,1,25203.0,11487.0,9490.0,5065.0,284.0,3850.0,2
193,1,1,583.0,685.0,2216.0,469.0,954.0,18.0,2
194,1,1,1956.0,891.0,5226.0,1383.0,5.0,1328.0,2
195,2,1,1107.0,11711.0,23549.375,955.0,9265.0,710.0,2
196,1,1,6373.0,780.0,950.0,878.0,288.0,285.0,2
197,2,1,2541.0,4737.0,6089.0,2946.0,5316.0,120.0,2
198,1,1,1537.0,3748.0,5838.0,1859.0,3381.0,806.0,2
199,2,1,5550.0,12729.0,16767.0,864.0,9598.375,797.0,2
200,1,1,18567.0,1895.0,1393.0,1801.0,244.0,2100.0,2
201,2,1,12119.0,15489.5,23549.375,4736.0,9598.375,2870.0,2
202,1,1,7291.0,1012.0,2062.0,1291.0,240.0,1775.0,2
203,1,1,3317.0,6602.0,6861.0,1329.0,3961.0,1215.0,2
204,2,1,2362.0,6551.0,11364.0,913.0,5957.0,791.0,2
205,1,1,2806.0,10765.0,15538.0,1374.0,5828.0,2388.0,2
206,2,1,2532.0,15489.5,23549.375,179.0,9598.375,674.0,2
207,1,1,18044.0,1475.0,2046.0,2532.0,130.0,1158.0,2
208,2,1,18.0,7504.0,15205.0,1285.0,4797.0,3850.0,2
209,1,1,4155.0,367.0,1390.0,2306.0,86.0,130.0,2
210,1,1,14755.0,899.0,1382.0,1765.0,56.0,749.0,2
211,1,1,5396.0,7503.0,10646.0,91.0,4167.0,239.0,2
212,1,1,5041.0,1115.0,2856.0,7496.0,256.0,375.0,2
213,2,1,2790.0,2527.0,5265.0,5612.0,788.0,1360.0,2
214,1,1,7274.0,659.0,1499.0,784.0,70.0,659.0,2
215,1,1,12680.0,3243.0,4157.0,660.0,761.0,786.0,2
216,2,1,20782.0,5921.0,9212.0,1759.0,2568.0,1553.0,2
217,1,1,4042.0,2204.0,1563.0,2286.0,263.0,689.0,2
218,1,1,1869.0,577.0,572.0,950.0,4762.0,203.0,2
219,1,1,8656.0,2746.0,2501.0,6845.0,694.0,980.0,2
220,2,1,11072.0,5989.0,5615.0,7787.25,955.0,2137.0,2
221,1,1,2344.0,10678.0,3828.0,1439.0,1566.0,490.0,2
222,1,1,25962.0,1780.0,3838.0,638.0,284.0,834.0,2
223,1,1,964.0,4984.0,3316.0,937.0,409.0,7.0,2
224,1,1,15603.0,2703.0,3833.0,4260.0,325.0,2563.0,2
225,1,1,1838.0,6380.0,2824.0,1218.0,1216.0,295.0,2
226,1,1,8635.0,820.0,3047.0,2312.0,415.0,225.0,2
227,1,1,18692.0,3838.0,593.0,4634.0,28.0,1215.0,2
228,1,1,7363.0,475.0,585.0,1112.0,72.0,216.0,2
229,1,1,37788.25,2567.0,3779.0,5243.0,828.0,2253.0,2
230,1,1,22096.0,3575.0,7041.0,7787.25,343.0,2564.0,2
231,1,1,24929.0,1801.0,2475.0,2216.0,412.0,1047.0,2
232,1,1,18226.0,659.0,2914.0,3752.0,586.0,578.0,2
233,1,1,11210.0,3576.0,5119.0,561.0,1682.0,2398.0,2
234,1,1,6202.0,7775.0,10817.0,1183.0,3143.0,1970.0,2
235,2,1,3062.0,6154.0,13916.0,230.0,8933.0,2784.0,2
236,1,1,8885.0,2428.0,1777.0,1777.0,430.0,610.0,2
237,1,1,13569.0,346.0,489.0,2077.0,44.0,659.0,2
238,1,1,15671.0,5279.0,2406.0,559.0,562.0,572.0,2
239,1,1,8040.0,3795.0,2070.0,6340.0,918.0,291.0,2
240,1,1,3191.0,1993.0,1799.0,1730.0,234.0,710.0,2
241,2,1,6134.0,15489.5,23549.375,6746.0,9598.375,3850.0,2
242,1,1,6623.0,1860.0,4740.0,7683.0,205.0,1693.0,2
243,1,1,29526.0,7961.0,16966.0,432.0,363.0,1391.0,2
244,1,1,10379.0,15489.5,4748.0,4686.0,1547.0,3265.0,2
245,1,1,31614.0,489.0,1495.0,3242.0,111.0,615.0,2
246,1,1,11092.0,5008.0,5249.0,453.0,392.0,373.0,2
247,1,1,8475.0,1931.0,1883.0,5004.0,3593.0,987.0,2
248,1,1,37788.25,4563.0,2124.0,6422.0,730.0,3321.0,2
249,1,1,37788.25,4959.0,7336.0,3012.0,967.0,818.0,2
250,1,1,9193.0,4885.0,2157.0,327.0,780.0,548.0,2
251,1,1,7858.0,1110.0,1094.0,6818.0,49.0,287.0,2
252,1,1,23257.0,1372.0,1677.0,982.0,429.0,655.0,2
253,1,1,2153.0,1115.0,6684.0,4324.0,2894.0,411.0,2
254,2,1,1073.0,9679.0,15445.0,61.0,5980.0,1265.0,2
255,1,1,5909.0,15489.5,13699.0,7787.25,830.0,3636.0,2
256,2,1,572.0,9763.0,22182.0,2221.0,4882.0,2563.0,2
257,1,1,20893.0,1222.0,2576.0,3975.0,737.0,3628.0,2
258,2,1,11908.0,8053.0,19847.0,1069.0,6374.0,698.0,2
259,1,1,15218.0,258.0,1138.0,2516.0,333.0,204.0,2
260,1,1,4720.0,1032.0,975.0,5500.0,197.0,56.0,2
261,1,1,2083.0,5007.0,1563.0,1120.0,147.0,1550.0,2
262,1,1,514.0,8323.0,6869.0,529.0,93.0,1040.0,2
263,1,3,36817.0,3045.0,1493.0,4802.0,210.0,1824.0,3
264,1,3,894.0,1703.0,1841.0,744.0,759.0,1153.0,1
265,1,3,680.0,1610.0,223.0,862.0,96.0,379.0,1
266,1,3,27901.0,3749.0,6964.0,4479.0,603.0,2503.0,3
267,1,3,9061.0,829.0,683.0,7787.25,621.0,139.0,3
268,1,3,11693.0,2317.0,2543.0,5845.0,274.0,1409.0,3
269,2,3,17360.0,6200.0,9694.0,1293.0,3620.0,1721.0,0
270,1,3,3366.0,2884.0,2431.0,977.0,167.0,1104.0,1
271,2,3,12238.0,7108.0,6235.0,1093.0,2328.0,2079.0,0
272,1,3,37788.25,3965.0,4252.0,5970.0,1041.0,1404.0,3
273,1,3,25767.0,3613.0,2013.0,7787.25,314.0,1384.0,3
274,1,3,37788.25,4411.0,12609.0,7787.25,751.0,2406.0,3
275,1,3,37788.25,640.0,3600.0,1042.0,436.0,18.0,1
276,1,3,7149.0,2247.0,1242.0,1619.0,1226.0,128.0,1
277,1,3,15354.0,2102.0,2828.0,7787.25,386.0,1027.0,3
278,1,3,16260.0,594.0,1296.0,848.0,445.0,258.0,1
279,1,3,37788.25,286.0,471.0,1388.0,32.0,22.0,1
280,1,3,2708.0,2160.0,2642.0,502.0,965.0,1522.0,1
281,1,3,6022.0,3354.0,3261.0,2507.0,212.0,686.0,1
282,1,3,2838.0,3086.0,4329.0,3838.0,825.0,1060.0,1
283,2,2,3996.0,11103.0,12469.0,902.0,5952.0,741.0,0
284,1,2,21273.0,2013.0,6550.0,909.0,811.0,1854.0,1
285,2,2,7588.0,1897.0,5234.0,417.0,2208.0,254.0,0
286,1,2,19087.0,1304.0,3643.0,3045.0,710.0,898.0,1
287,2,2,8090.0,3199.0,6986.0,1455.0,3712.0,531.0,0
288,2,2,6758.0,4560.0,9965.0,934.0,4538.0,1037.0,0
289,1,2,444.0,879.0,2060.0,264.0,290.0,259.0,1
290,2,2,16448.0,6243.0,6360.0,824.0,2662.0,2005.0,0
291,2,2,5283.0,13316.0,20399.0,1809.0,8752.0,172.0,0
292,2,2,2886.0,5302.0,9785.0,364.0,6236.0,555.0,0
293,2,2,2599.0,3688.0,13829.0,492.0,9598.375,59.0,0
294,2,2,161.0,7460.0,23549.375,617.0,9598.375,2410.0,0
295,2,2,243.0,12939.0,8852.0,799.0,3909.0,211.0,0
296,2,2,6468.0,12867.0,21570.0,1840.0,7558.0,1543.0,0
297,1,2,17327.0,2374.0,2842.0,1149.0,351.0,925.0,1
298,1,2,6987.0,1020.0,3007.0,416.0,257.0,656.0,1
299,2,2,918.0,15489.5,13567.0,1465.0,6846.0,806.0,0
300,1,2,7034.0,1492.0,2405.0,7787.25,299.0,1117.0,3
301,1,2,29635.0,2335.0,8280.0,3046.0,371.0,117.0,1
302,2,2,2137.0,3737.0,19172.0,1274.0,9598.375,142.0,0
303,1,2,9784.0,925.0,2405.0,4447.0,183.0,297.0,1
304,1,2,10617.0,1795.0,7647.0,1483.0,857.0,1233.0,1
305,2,2,1479.0,14982.0,11924.0,662.0,3891.0,3508.0,0
306,1,2,7127.0,1375.0,2201.0,2679.0,83.0,1059.0,1
307,1,2,1182.0,3088.0,6114.0,978.0,821.0,1637.0,1
308,1,2,11800.0,2713.0,3558.0,2121.0,706.0,51.0,1
309,2,2,9759.0,15489.5,17645.0,1128.0,9598.375,1625.0,0
310,1,2,1774.0,3696.0,2280.0,514.0,275.0,834.0,1
311,1,2,9155.0,1897.0,5167.0,2714.0,228.0,1113.0,1
312,1,2,15881.0,713.0,3315.0,3703.0,1470.0,229.0,1
313,1,2,13360.0,944.0,11593.0,915.0,1679.0,573.0,1
314,1,2,25977.0,3587.0,2464.0,2369.0,140.0,1092.0,1
315,1,2,32717.0,15489.5,13626.0,7787.25,1272.0,3850.0,3
316,1,2,4414.0,1610.0,1431.0,3498.0,387.0,834.0,1
317,1,2,542.0,899.0,1664.0,414.0,88.0,522.0,1
318,1,2,16933.0,2209.0,3389.0,7787.25,210.0,1534.0,3
319,1,2,5113.0,1486.0,4583.0,5127.0,492.0,739.0,1
320,1,2,9790.0,1786.0,5109.0,3570.0,182.0,1043.0,1
321,2,2,11223.0,14881.0,23549.375,1234.0,9598.375,1102.0,0
322,1,2,22321.0,3216.0,1447.0,2208.0,178.0,2602.0,1
323,2,2,8565.0,4980.0,23549.375,131.0,9598.375,1215.0,0
324,2,2,16823.0,928.0,2743.0,7787.25,332.0,3486.0,3
325,2,2,27082.0,6817.0,10790.0,1365.0,4111.0,2139.0,0
326,1,2,13970.0,1511.0,1330.0,650.0,146.0,778.0,1
327,1,2,9351.0,1347.0,2611.0,7787.25,442.0,868.0,3
328,1,2,3.0,333.0,7021.0,7787.25,15.0,550.0,3
329,1,2,2617.0,1188.0,5332.0,7787.25,573.0,1942.0,3
330,2,3,381.0,4025.0,9670.0,388.0,7271.0,1371.0,0
331,2,3,2320.0,5763.0,11238.0,767.0,5162.0,2158.0,0
332,1,3,255.0,5758.0,5923.0,349.0,4595.0,1328.0,1
333,2,3,1689.0,6964.0,23549.375,1456.0,9598.375,37.0,0
334,1,3,3043.0,1172.0,1763.0,2234.0,217.0,379.0,1
335,1,3,1198.0,2602.0,8335.0,402.0,3843.0,303.0,1
336,2,3,2771.0,6939.0,15541.0,2693.0,6600.0,1115.0,0
337,2,3,27380.0,7184.0,12311.0,2809.0,4621.0,1022.0,0
338,1,3,3428.0,2380.0,2028.0,1341.0,1184.0,665.0,1
339,2,3,5981.0,14641.0,20521.0,2005.0,9598.375,445.0,0
340,1,3,3521.0,1099.0,1997.0,1796.0,173.0,995.0,1
341,2,3,1210.0,10044.0,22294.0,1741.0,9598.375,3137.0,0
342,1,3,608.0,1106.0,1533.0,830.0,90.0,195.0,1
343,2,3,117.0,6264.0,21203.0,228.0,8682.0,1111.0,0
344,1,3,14039.0,7393.0,2548.0,6386.0,1333.0,2341.0,3
345,1,3,190.0,727.0,2012.0,245.0,184.0,127.0,1
346,1,3,22686.0,134.0,218.0,3157.0,9.0,548.0,1
347,2,3,37.0,1275.0,22272.0,137.0,6747.0,110.0,0
348,1,3,759.0,15489.5,1660.0,6114.0,536.0,3850.0,3
349,1,3,796.0,5878.0,2109.0,340.0,232.0,776.0,1
350,1,3,19746.0,2872.0,2006.0,2601.0,468.0,503.0,1
351,1,3,4734.0,607.0,864.0,1206.0,159.0,405.0,1
352,1,3,2121.0,1601.0,2453.0,560.0,179.0,712.0,1
353,1,3,4627.0,997.0,4438.0,191.0,1335.0,314.0,1
354,1,3,2615.0,873.0,1524.0,1103.0,514.0,468.0,1
355,2,3,4692.0,6128.0,8025.0,1619.0,4515.0,3105.0,0
356,1,3,9561.0,2217.0,1664.0,1173.0,222.0,447.0,1
357,1,3,3477.0,894.0,534.0,1457.0,252.0,342.0,1
358,1,3,22335.0,1196.0,2406.0,2046.0,101.0,558.0,1
359,1,3,6211.0,337.0,683.0,1089.0,41.0,296.0,1
360,2,3,37788.25,3944.0,4955.0,1364.0,523.0,2235.0,0
361,1,3,20105.0,1887.0,1939.0,7787.25,716.0,790.0,3
362,1,3,3884.0,3801.0,1641.0,876.0,397.0,3850.0,1
363,2,3,15076.0,6257.0,7398.0,1504.0,1916.0,3113.0,0
364,1,3,6338.0,2256.0,1668.0,1492.0,311.0,686.0,1
365,1,3,5841.0,1450.0,1162.0,597.0,476.0,70.0,1
366,2,3,3136.0,8630.0,13586.0,5641.0,4666.0,1426.0,0
367,1,3,37788.25,3154.0,2648.0,1034.0,96.0,1242.0,1
368,1,3,3225.0,3294.0,1902.0,282.0,68.0,1114.0,1
369,2,3,4048.0,5164.0,10391.0,130.0,813.0,179.0,0
370,1,3,28257.0,944.0,2146.0,3881.0,600.0,270.0,1
371,1,3,17770.0,4591.0,1617.0,7787.25,246.0,532.0,3
372,1,3,34454.0,7435.0,8469.0,2540.0,1711.0,2893.0,3
373,1,3,1821.0,1364.0,3450.0,4006.0,397.0,361.0,1
374,1,3,10683.0,15489.5,15400.0,3635.0,282.0,3850.0,3
375,1,3,11635.0,922.0,1614.0,2583.0,192.0,1068.0,1
376,1,3,1206.0,3620.0,2857.0,1945.0,353.0,967.0,1
377,1,3,20918.0,1916.0,1573.0,1960.0,231.0,961.0,1
378,1,3,9785.0,848.0,1172.0,1677.0,200.0,406.0,1
379,1,3,9385.0,1530.0,1422.0,3019.0,227.0,684.0,1
380,1,3,3352.0,1181.0,1328.0,5502.0,311.0,1000.0,3
381,1,3,2647.0,2761.0,2313.0,907.0,95.0,1827.0,1
382,1,3,518.0,4180.0,3600.0,659.0,122.0,654.0,1
